"type","pantry_name","address","borough","zipcode","days","weeks_in_month","hours"
"SK","WOODYCREST UNITED METHODIST CHURCH","89 WEST 166TH STREET","Bronx",10452,"WED",NA,"12-1:30PM"
"FP","CALVARY UNITED METHODIST CHURCH FOOD PANTRY","1885 UNIVERSITY AVENUE","Bronx",10453,"FRI",NA,"11AM-1PM"
"FP","DAVIDSON COMMUNITY CENTER INC","2038 DAVIDSON AVENUE","Bronx",10453,"FRI",NA,"5-8PM"
"FP","MUNA SOCIAL SERVICE BAITUL ISLAM MASJID","2107 DAVIDSON AVENUE","Bronx",10453,"THUR",NA,"2-3PM"
"FP","ST. EDMUNDS YOUTH PROGRAM INC","1905 MORRIS AVENUE","Bronx",10453,"THUR",NA,"12-2PM"
"FP","ABRAHAM HOUSE, INC","340 WILLIS AVENUE","Bronx",10454,"SAT",NA,"9-11AM"
"FP","ST. ANN'S CHURCH OF MORRISANIA","295 ST. ANN'S AVENUE","Bronx",10454,"WED",NA,"10AM-1PM & 5-6PM"
"SK","ST. ANN'S CHURCH OF MORRISANIA","295 ST. ANN'S AVENUE","Bronx",10454,"SUN",NA,"11AM-1PM"
"FP","ST. JEROME H.A.N.D.S. COMMUNITY CENTER","330 EAST 138TH STREET","Bronx",10454,"WED",NA,"10AM-1PM"
"FP","ST. LUKES FOOD PANTRY","623 EAST 138TH STREET","Bronx",10454,"FRI",NA,"10AM-1PM"
"FP","BRONX TEMPLE SEVENTH DAY ADVENTIST CHURCH","495 WILLIS AVENUE","Bronx",10455,"MON,WED,THUR",NA,"11:30AM-2:30PM"
"FP","CCCS BRONX FOOD PANTRY","402 EAST 152ND STREET","Bronx",10455,"WED,THUR,FRI",NA,"4-6PM/10AM-12PM"
"FP","CITY HARVEST - ST. MARY'S MOBILE MARKET","595 TRINITY AVENUE","Bronx",10455,"TUE,SAT",NA,"9:30-11:30AM"
"FP","GIVE THEM TO EAT","800 EAST 156TH STREET","Bronx",10455,"FRI",NA,"11AM-2PM"
"FP","UNITED BRONX PARENTS, INC.","603 PROSPECT AVENUE","Bronx",10455,"WED,THU,FRI",NA,"11AM-12PM"
"SK","UNITED BRONX PARENTS, INC.","603 PROSPECT AVENUE","Bronx",10455,"MON,TUES,WED,THUR,FRI",NA,"2:30-4PM"
"FP","WAY OUT CHURCH MINISTRIES, INC","520 EAST 148TH STREET","Bronx",10455,"WED,FRI",NA,"9-10:30AM"
"FP","ADMIRABLE CHRIST MINISTRIES FOOD PANTRY","1446 PROSPECT AVENUE","Bronx",10456,"FRI","2,4","2-3:30PM"
"FP","CARING SHEPERD SUPPLIES MINISTRIES INC","4056 BARNES AVENUE","Bronx",10456,"THUR","1, ","4-6PM"
"FP","HOLY TABERNACLE CHURCH INC.","3780 THIRD AVENUE","Bronx",10456,"TUE",NA,"4:30-5PM"
"SK","HOLY TABERNACLE CHURCH INC.","3780 THIRD AVENUE","Bronx",10456,"TUE",NA,"3:30-4:30PM"
"FP","INSPIRATIONAL GOSPEL ASSEMBLY","1211 BROOK AVENUE","Bronx",10456,"SAT",NA,"11AM-1PM"
"FP","MANNA OF LIFE MINISTRIES, INC","1101 BOSTON ROAD","Bronx",10456,"WED,THUR,SAT",NA,"8AM-12PM"
"SK","MANNA OF LIFE MINISTRIES, INC","1101 BOSTON ROAD","Bronx",10456,"SAT",NA,"9AM-1PM"
"FP","MORRISANIA REVITALIZATION CORP INC","576B EAST 165TH STREET","Bronx",10456,"MON,WED,FRI",NA,"9AM-1PM"
"FP","NEW COVENANT COMMUNITY DEVELOPMENT CORP","1175 BOSTON ROAD","Bronx",10456,"TUE,THUR",NA,"2-4PM/10AM-1PM"
"FP","REDEEMED CHRISTIAN CHURCH OF GOD","1001-1005 MORRIS AVENUE","Bronx",10456,"TUE",NA,"2-6PM"
"FP","THE BIBLE CHURCH OF CHRIST","1358 MORRIS AVENUE","Bronx",10456,"WED,SUN","2,4","1-4PM/3-5PM"
"FP","VINEYARD INTERNATIONAL CHRISTIAN MINISTRIES","1140 TELLER AVE","Bronx",10456,"SAT",NA,"10AM-12PM"
"FP","WORLD RESTORATION CENTER, INC","488 EAST 164TH STREET","Bronx",10456,"SAT",NA,"12-2PM"
"FP","ASH-SHIFAA INC FP","2269 CROTONA AVENUE","Bronx",10457,"MON,TUES,WED,THUR,FRI",NA,"1-5PM/2-5PM"
"FP","BRONX SEVENTH DAY ADVENTIST CHURCH","1695 WASHINGTON AVENUE","Bronx",10457,"THUR",NA,"2-5PM"
"FP","MORNING STAR FULL GOSPEL ASSEMBLY","464 TREMONT AVENUE","Bronx",10457,"WED",NA,"4-6PM"
"FP","REVELACION DIVINA FOOD PANTRY","240 EAST 175TH STREET","Bronx",10457,"MON",NA,"5-7PM"
"FP","SAGE CENTER BRONX (LOVE WINS FOOD PANTRY)","1784 PROSPECT AVENUE","Bronx",10457,"THUR","3","1-3PM"
"FP","ST. SIMON STOCK FOOD PANTRY","2195 VALENTINE AVENUE","Bronx",10457,"FRI",NA,"9-10AM"
"FP","THE GAMBIAN YOUTH ORGANIZATION FOOD PANTRY","214 EAST 181ST STREET","Bronx",10457,"SUN",",4","2-5PM"
"FP","PART OF THE SOLUTION","2759 WEBSTER AVENUE","Bronx",10458,"MON,TUES,WED,THUR,FRI,SAT",NA,"8:30-11AM"
"SK","PART OF THE SOLUTION (P.O.T.S.)","2759 WEBSTER AVENUE","Bronx",10458,"MON,TUES,WED,THUR,FRI",NA,"12:30-3:30PM"
"FP","THORPE FAMILY RESIDENCE","406 EAST 184TH STREET","Bronx",10458,"WED",NA,"7:30-9:30AM"
"FP","GIVE BY GRACE WHAT BY GRACE YOU HAVE RECEIVED INC","936 EAST 165TH STREET","Bronx",10459,"FRI",NA,"12-1:30PM"
"SK","LOYAL BAPTIST CHURCH","881 EAST 167TH STREET","Bronx",10459,"THUR",NA,"11AM-3PM"
"FP","NEW YORK COMMON PANTRY - BRONX","1290 HOE AVENUE","Bronx",10459,"THUR,FRI,SAT",NA,"10AM-2:30PM"
"SK","PATHHSEO INC","1357 SOUTHERN BLVD","Bronx",10459,"SAT",NA,"12-2PM"
"FP","RESURRECTION AND LIFE PENTECOSTAL CHURCH","870 EAST 163RD STREET","Bronx",10459,"TUE,SAT",NA,"12-2PM/10AM-12PM"
"FP","SPANISH SEVENTH DAY ADVENTIST CHURCH FOOD PANTRY","1038 PROSPECT AVENUE","Bronx",10459,"THUR",NA,"8:30-11:30AM"
"SK","ST. ANN'S CORNER OF HARM REDUCTION","886 WESTCHESTER AVENUE","Bronx",10459,"MON,TUES,WED,THUR,FRI",NA,"9AM-11PM"
"FP","THESSALONIA BAPTIST CHURCH","951 REV. JAMES POLITE AVE","Bronx",10459,"TUE",NA,"10-11:30AM"
"FP","WORD OF LIFE CHRISTIAN FELLOWSHIP","830 UNION AVENUE","Bronx",10459,"SAT",NA,"11AM-3PM"
"FP","GETHSEMANE BAPTIST CHURCH","771 FAIRMOUNT PLACE","Bronx",10460,"THUR",NA,"8-10AM"
"SK","GRACE EPISCOPAL CHURCH","1909 VYSE AVENUE","Bronx",10460,"SAT",NA,"12-1:30PM"
"FP","GRACE EPISCOPAL CHURCH  (BX)","1909 VYSE AVENUE","Bronx",10460,"THUR",NA,"7:30-10:30AM"
"SK","ST. ANTHONY'S CHURCH","1750 MANSION STREET","Bronx",10460,"SAT",NA,"7AM-1PM"
"FP","ST. THOMAS AQUINAS FOOD PANTRY","1900 CROTONA PARKWAY (SIDE OF CHURCH/BASEMENT)","Bronx",10460,"WED",NA,"10AM-12PM"
"FP","UNION GROVE BAPTIST CHURCH","1488 HOE AVENUE","Bronx",10460,"WED",NA,"9-11AM"
"FP","GURU SEVA HIDU MILAN MANDIR CULTURAL GROUP","3201 BRUCKNER BLVD","Bronx",10461,"SAT",NA,"11AM-3PM"
"FP","ST. PETER'S LOVE PANTRY","2500 WESTCHESTER AVENUE","Bronx",10461,"TUE","1,3","10AM-12PM"
"FP","JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY","2157 HOLLAND AVE","Bronx",10462,"THUR",NA,"11AM-3PM"
"FP","MUNA SOCIAL SERVICE PARKCHESTER ISLAMIC CENTER","1375 VIRGINIA AVENUE","Bronx",10462,"THUR","2,4","4-5PM"
"FP","PARKCHESTER BAPTIST CHURCH","2021 BENEDICT AVENUE","Bronx",10462,"TUE","2,4","11AM-12PM"
"FP","ROMAN CATHOLIC CHURCH OF ST. HELENA","1315 OLMSTEAD AVENUE","Bronx",10462,"WED",NA,"12-2PM"
"FP","ST. PAUL'S LUTHERAN CHURCH","1891 McGRAW AVENUE","Bronx",10462,"FRI",NA,"8-10AM"
"FP","THE KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC","3067 KINGSBRIDGE TERRACE","Bronx",10463,"TUE,THUR",NA,"11AM-2:30PM"
"FP","BRONX BETHANY COMMUNITY CORPORATION","971 EAST 227TH STREET","Bronx",10466,"WED,THUR","1,2,3,4","9-11AM/3-6PM"
"FP","JAMAICA BENEVOLENT ARM & CULTURAL CENTER","2230 LIGHT STREET","Bronx",10466,"SAT",NA,"10AM-12PM"
"FP","JESUS RECONCILIATION MINISTRIES, INC","4051 BARNES AVENUE","Bronx",10466,"SAT","2,4","12-2PM"
"FP","MOUNT PISGAH BAPTIST CHURCH","709 EAST 228TH STREET","Bronx",10466,"SAT","2,3","9:30AM-11:30AM"
"FP","UNITED YES WE CAN, UNIDOS SISE PUEDE, INC","4327-4331 WHITE PLAINS ROAD","Bronx",10466,"SAT",NA,"12-3PM"
"FP","CHRIST DISCIPLES INTERNATIONAL MINISTRIES","3021-31 WEBSTER AVENUE","Bronx",10467,"MON,WED,SAT",NA,"10AM-3PM/9:30AM-12:30PM"
"FP","FOOD AND NUTRITION SERVICES PROGRAM","1802 CROTONA AVENUE","Bronx",10467,"WED",NA,"10AM-4PM"
"FP","MOSHOLU MONTEFIORE COMMUNITY CENTER FP","3450 DEKALB AVENUE","Bronx",10467,"WED","2,3,4","10AM-12PM"
"FP","ST. BRENDAN & ST. ANN PARISH","268 EAST 207TH STREET","Bronx",10467,"SAT",NA,"7:30-9AM"
"FP","CHURCH OF ST. NICHOLAS OF TOLENTINE","2345 UNIVERSITY AVE (BASEMENT FORDHAM RD ENT.)","Bronx",10468,"TUE",NA,"9-11AM"
"SK","CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC","114 EAST 188TH STREET","Bronx",10468,"SAT",NA,"12-2PM"
"FP","CRESTON AVENUE BAPTIST CHURCH, INC","114 EAST 188TH STREET","Bronx",10468,"MON,WED,FRI",NA,"12-2PM"
"FP","HEAVENLY VISION CHRISTIAN CENTER","2868 JEROME AVE","Bronx",10468,"TUE",NA,"9-10:30AM"
"FP","POWER PRAISE AND DELIVERANCE, INC","120 EAST 184TH STREET","Bronx",10468,"FRI",NA,"12-4PM"
"FP","ST. JAMES PLACE","2500 JEROME AVENUE","Bronx",10468,"SAT","2,","9:30-10:30AM"
"FP","ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY","3101 EASTCHESTER ROAD","Bronx",10469,"SAT",NA,"9-11AM"
"FP","CHURCH OF GOD OF BRONXWOOD AVENUE","3232 LURTING AVENUE","Bronx",10469,"WED,SAT",NA,"10AM-2PM"
"FP","EASTCHESTER PRESBYTERIAN CHURCH","3154 FISH AVENUE","Bronx",10469,"SAT","3","10-11AM"
"SK","EASTCHESTER PRESBYTERIAN CHURCH","3154 FISH AVENUE","Bronx",10469,"THUR",NA,"5-6PM"
"FP","GOOD NEIGHBOR COMMUNITY OUTREACH AGENCY INC","3356 SEYMOUR AVENUE","Bronx",10469,"WED,FRI",NA,"12-2PM/7-9PM"
"FP","ICNA RELIEF BURKE AVENUE BRONX PANTRY","1277-D BURKE AVENUE","Bronx",10469,"SAT",NA,"9-11AM"
"FP","NORTH BRONX SEVENTH DAY ADVENTIST CHURCH","3743 BRONXWOOD AVENUE","Bronx",10469,"FRI",NA,"9AM-12PM"
"FP","BREAD OF LIFE FOOD PANTRY","1104 ELDER AVENUE #15","Bronx",10472,"SAT",NA,"1:30 - 4:30PM"
"FP","CHURCH OF THE ATONEMENT FOOD PANTRY","1344 BEACH AVENUE","Bronx",10472,"SAT","2,4","10AM-12PM"
"FP","EMANUEL PENTECOSTAL FAITH CHURCH","1310 ELDER AVE","Bronx",10472,"WED",NA,"12-2PM"
"FP","DISCIPLES OF GALILEE, INC","725 CASTLE HILL AVENUE","Bronx",10473,"WED,FRI",NA,"3-4PM/1-:2:30PM"
"FP","FELLOWSHIP COVENANT CHURCH","720 CASTLE HILL AVENUE","Bronx",10473,"WED",NA,"9-11:30AM"
"FP","GRACE & PEACE FOOD BANK","525 COMPTON AVENUE","Bronx",10473,"SAT","1,3","9AM-12PM"
"FP","LT WORKS FOOD PANTRY","2347 LAFAYETTE AVENUE","Bronx",10473,"THUR",NA,"10:30AM-12:30PM"
"FP","SHOUT FOR JOY BAPTIST CHURCH INC","456 WHITE PLAINS ROAD","Bronx",10473,"SAT",NA,"8-9:30AM"
"FP","SPANISH SOUNDVIEW SEVENTH DAY ADVENTIST CHURCH","1822 LACOMBE AVENUE","Bronx",10473,"WED",NA,"8AM-12:30PM"
"FP","CHAPEL OF THE GREAT RESTORER FOOD PANTRY","1121 LONGWOOD AVENUE","Bronx",10474,"SAT","2","12-2PM"
"FP","PRODIGAL CENTER","709 TIFFANY STREET","Bronx",10474,"TUE",NA,"11AM-2PM"
"FP","BLACK FORUM OF CO-OP CITY","920 BAYCHESTER AVE (REAR LOBBY LEVEL)","Bronx",10475,"TUE, THUR,FRI",NA,"11AM-12:45PM"
"FP","COOP CITY SDA CHURCH FOOD PANTRY","1010 BAYCHESTER AVENUE","Bronx",10475,"WED","1,2,3,4","5-7PM"
"FP","CENTER OF HOPE INTERNATIONAL","38-49 12TH STREET (L.I.C.)","Queen",11101,"TUE, THUR,WED",NA,"12-3PM/11AM-2PM"
"FP","CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES","10-25 41ST AVENUE","Queen",11101,"WED, SAT","3","9:30-11:30AM"
"FP","EVANGEL FOOD PANTRY","39-21 CRESCENT STREET (LIC)","Queen",11101,"TUES,WED,THUR,FRI,SAT",NA,"9AM-3PM/9-12PM"
"FP","IGLESIA ALIANZA MISIONERA EBENEZER","43-02 38TH STREET (L.I.C.)","Queen",11101,"SAT",NA,"8AM-1PM"
"FP","ST. RAPHAEL CHURCH FOOD PANTRY","35-20 GREENPOINT AVE, LIC","Queen",11101,"THUR,SAT",NA,"10:3A-12P/1:3-3P"
"FP","CITY HARVEST - ASTORIA MOBILE MARKET","7-1 ASTORIA BLVD","Queen",11102,"THUR,SAT","1","9:30-11:30AM"
"FP","THE SALVATION ARMY ASTORIA CORPS","45-18 BROADWAY","Queen",11103,"TUE,THUR",NA,"10AM-2PM"
"FP","HOUR CHILDREN COMMUNITY OUTREACH","36-49 11TH STREET (LIC)","Queen",11106,"MON,THUR,TUE",NA,"2-4PM/10:30AM-12:30PM"
"FP","SAGE CENTER BROOKLYN (LOVE WINS FOOD PANTRY)","271 MYRTLE AVENUE (STONEWALL HOUSE)","Brooklyn",11201,"THUR","4","12-2PM"
"FP","VINEGAR HILL FOOD PANTRY","228 YORK STREET","Brooklyn",11201,"TUE","2,4","12-1PM"
"FP","BEYOND WALLS, INC","188 EAST 53RD STREET","Brooklyn",11203,"TUE",NA,"1:30-3PM"
"SK","BROOKLYN FAITH SDA CHURCH","5518 CHURCH AVENUE","Brooklyn",11203,"FRI",NA,"12-3PM"
"FP","BROOKLYN FAITH SEVENTH DAY ADVENTIST CHURCH","5518 CHURCH AVENUE","Brooklyn",11203,"THUR",NA,"1-4PM"
"FP","CHRISTIAN FELLOWSHIP SEVENTH DAY ADVENTIST COMMUNITY SVCS-F.P.","777 SCHENECTADY AVENUE","Brooklyn",11203,"WED","1,2,3,4","10:30AM-12:30PM"
"SK","CHRISTIAN FELLOWSHIP SEVENTH DAY ADVENTIST COMMUNITY SVCS-S.K.","777 SCHENECTADY AVENUE","Brooklyn",11203,"MON,TUE,WED",NA,"5-6PM"
"FP","ELITE LEARNERS, INC","4517 AVENUE D","Brooklyn",11203,"THUR",NA,"10AM-12PM"
"FP","GOD'S BATTALION OF PRAYER CHURCH","661 LINDEN BOULEVARD","Brooklyn",11203,"TUE,THUR",NA,"9AM-12PM"
"FP","MOUNT CARMEL WORSHIP AND OUTREACH CENTER","784 EAST 46TH STREET","Brooklyn",11203,"MON",NA,"12-2PM"
"FP","MUNA SOCIAL SERVICE EAST FLATBUSH","167 EAST 43RD STREET","Brooklyn",11203,"MON","2,4","5-6PM"
"FP","PENIEL SEVENTH DAY ADVENTIST CHURCH","1210 UTICA AVENUE","Brooklyn",11203,"FRI",NA,"10AM-12PM"
"FP","SHALOM SENIOR CENTER","483 ALBANY AVE","Brooklyn",11203,"MON,TUES,WED,THUR,FRI",NA,"12-1PM"
"FP","ST. THERESE OF LISIEUX R.C. CHURCH","4410 AVENUE D","Brooklyn",11203,"TUE",NA,"10:30AM-12:30PM"
"FP","THE CITY OF GRACE INC","3402 TILDEN AVENUE","Brooklyn",11203,"TUE",NA,"11AM-1PM"
"SK","UNITED COMMUNITY BAPTIST CHURCH","545 UTICA AVENUE","Brooklyn",11203,"SAT",NA,"10AM-12PM"
"FP","PAYO MOBILE FOOD PANTRY","2483 65TH STREET","Brooklyn",11204,"FRI",NA,"1:30-2:30PM"
"FP","REACHING-OUT COMMUNITY SERVICES INC","6417 18TH AVENUE","Brooklyn",11204,"MON,TUES,WED,THUR,FRI",NA,"9AM-5PM"
"FP","ST. ATHANASIUS R.C. CHURCH FP","2154 61ST STREET","Brooklyn",11204,"MON",NA,"3:15-5PM"
"FP","CELESTIAL CHURCH OF CHRIST ILERI PARISH","138 WAVERLY AVENUE","Brooklyn",11205,"SAT","2","12-3PM"
"FP","CITY HARVEST - BED-STUY MOBILE MARKET","736 PARK AVENUE","Brooklyn",11206,"WED,SAT","1","9:30-11:30AM"
"FP","COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPORATION","43 GEORGE STREET","Brooklyn",11206,"THUR","1,3","9-11:30AM"
"FP","SANTANA & VARGAS CHARITIES, INC","576 WILLOUGHBY AVENUE","Brooklyn",11206,"MON,TUES,WED,SAT,SUN",NA,"10AM-12:3P/12-3P/3-5P"
"FP","SOLID ROCK BAPTIST CHURCH","120 TOMPKINS AVE","Brooklyn",11206,"MON,THUR",NA,"9AM-12PM"
"FP","ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT CORPORATION","874 MYRTLE AVENUE","Brooklyn",11206,"WED,FRI",NA,"9-10:30AM"
"SK","ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT CORPORATION","874 MYRTLE AVENUE","Brooklyn",11206,"WED,THUR,FRI",NA,"11AM-1PM"
"FP","TRINITY HUMAN SERVICE CORPORATION","153 A JOHNSON AVENUE","Brooklyn",11206,"TUES,WED,THUR,FRI",NA,"9AM-12PM&1-4PM"
"FP","BETHLEM NATION'S FOOD PANTRY","1962-84 LINDEN BLVD","Brooklyn",11207,"SAT","4 ONLY","10AM-12PM"
"FP","CHRISTIAN CULTURAL CENTER","12020 FLATLANDS AVENUE","Brooklyn",11207,"THUR",NA,"9AM-3PM"
"FP","CHURCH OF GOD PROPHECY","71 MALTA STREET","Brooklyn",11207,"TUE","2,4","3:30-6PM"
"SK","CHURCH OF GOD PROPHECY","71 MALTA STREET","Brooklyn",11207,"TUE","2,4","3:30-6PM"
"FP","CORNERSTONE SEVENTH DAY ADVENTIST CHURCH","138 PENNSYLVANIA AVE","Brooklyn",11207,"THUR",NA,"10AM-12PM"
"SK","CORNERSTONE SEVENTH DAY ADVENTIST CHURCH","138 PENNSYLVANIA AVE","Brooklyn",11207,"SUN",NA,"11:30AM-1:30PM"
"FP","EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY WORSHIP CENT","817 LIVONIA AVENUE","Brooklyn",11207,"SAT",NA,"11AM - 1PM"
"FP","FAMILY SERVICE NETWORK OF N.Y. INC","1420 BUSHWICK AVENUE","Brooklyn",11207,"MON,WED",NA,"9AM-1PM"
"FP","HOPE EMPOWERMENT AND DEVELOPMENT ZONE FOOD PANTRY","369 NEW LOTS AVENUE","Brooklyn",11207,"SAT","3","12-4PM"
"FP","HOUSE OF DAVID WORSHIP CENTER","747-749-HENDRIX STREET","Brooklyn",11207,"WED",NA,"10:30AM-12:30PM"
